eta,pz,d,log,log_x,log_z,err,err_x,err_z
1,0.044,7,0.09786,0.05239,0.05245,0.000939593,0.000704594,0.000704975
1,0.046,7,0.11443,0.06183,0.06112,0.001006657,0.000761624,0.000757525
1,0.048,7,0.13317,0.07325,0.07143,0.00107441,0.00082392,0.000814419
1,0.05,7,0.15545,0.08251,0.08666,0.001145798,0.00087007,0.000889663
1,0.052,7,0.17799,0.09847,0.09725,0.001209585,0.000942198,0.000936976
1,0.054,7,0.20282,0.11215,0.11166,0.00127155,0.00099786,0.000995952
1,0.056,7,0.22821,0.12734,0.127,0.001327141,0.001054156,0.001052953
1,0.058,7,0.25278,0.14228,0.14026,0.001374344,0.001104701,0.001098122
1,0.06,7,0.27595,0.15638,0.1563,0.001413512,0.001148587,0.001148348
1,0.062,7,0.30853,0.17569,0.1747,0.001460614,0.001203424,0.001200749
1,0.064,7,0.33593,0.19109,0.1935,0.00149359,0.00124328,0.001249231
1,0.044,9,0.07727,0.04111,0.0405,0.000844389,0.000627853,0.000623376
1,0.046,9,0.0948,0.05087,0.05029,0.000926353,0.000694854,0.000691093
1,0.048,9,0.11405,0.06124,0.06121,0.001005199,0.000758219,0.000758046
1,0.05,9,0.13805,0.07412,0.07498,0.001090835,0.000828409,0.000832815
1,0.052,9,0.16412,0.08874,0.08911,0.001171258,0.000899251,0.000900941
1,0.054,9,0.19097,0.10499,0.1043,0.001242982,0.000969366,0.000966548
1,0.056,9,0.22076,0.12121,0.12264,0.001311583,0.001032076,0.001037301
1,0.058,9,0.2482,0.13756,0.13968,0.001366004,0.001089207,0.001096218
1,0.06,9,0.27971,0.1562,0.15851,0.001419409,0.001148049,0.001154922
1,0.062,9,0.31666,0.1809,0.17912,0.001471008,0.001217272,0.001212584
1,0.064,9,0.34489,0.19811,0.1975,0.001503133,0.001260406,0.001258943
1,0.044,11,0.06036,0.03137,0.03192,0.000753105,0.000551234,0.000555888
1,0.046,11,0.07788,0.04135,0.0405,0.000847436,0.000629604,0.000623376
1,0.048,11,0.09972,0.05206,0.05351,0.000947502,0.000702494,0.000711665
1,0.05,11,0.12322,0.06534,0.06632,0.001039408,0.000781477,0.000786903
1,0.052,11,0.14927,0.081,0.07983,0.001126892,0.00086278,0.000857072
1,0.054,11,0.18009,0.09749,0.09786,0.001215144,0.000938007,0.000939593
1,0.056,11,0.21104,0.11418,0.11741,0.001290357,0.001005698,0.001017963
1,0.058,11,0.24421,0.13544,0.1358,0.001358571,0.001082109,0.001083321
1,0.06,11,0.28237,0.15813,0.15881,0.001423507,0.001153798,0.001155809
1,0.062,11,0.319,0.1794,0.18161,0.001473903,0.001213325,0.00121913
1,0.064,11,0.3549,0.203,0.20386,0.001513096,0.001271971,0.001273974
2,0.08,7,0.18687,0.13126,0.06982,0.001232678,0.001067852,0.000805886
2,0.082,7,0.2001,0.14154,0.07556,0.001265148,0.0011023,0.000835767
2,0.084,7,0.21608,0.15282,0.08222,0.001301497,0.001137831,0.000868676
2,0.086,7,0.23125,0.16302,0.08939,0.001333317,0.001168095,0.000902216
2,0.088,7,0.24601,0.17195,0.09727,0.001361944,0.001193244,0.000937062
2,0.09,7,0.26346,0.18346,0.10625,0.001393014,0.001223938,0.000974479
2,0.092,7,0.27703,0.19344,0.11246,0.001415219,0.001249084,0.000999063
2,0.094,7,0.29566,0.20605,0.12212,0.00144307,0.001279036,0.001035407
2,0.096,7,0.31119,0.21887,0.12808,0.001464072,0.001307539,0.001056766
2,0.098,7,0.32823,0.23005,0.13782,0.001484908,0.001330891,0.001090072
2,0.1,7,0.34582,0.24211,0.14759,0.00150409,0.001354595,0.001121638
2,0.08,9,0.17023,0.12097,0.06047,0.001188494,0.001031195,0.000753747
2,0.082,9,0.18851,0.134,0.06811,0.001236827,0.001077237,0.000796687
2,0.084,9,0.20165,0.14285,0.07458,0.001268808,0.001106544,0.00083077
2,0.086,9,0.22287,0.15672,0.0844,0.001316051,0.001149604,0.000879071
2,0.088,9,0.24263,0.17124,0.09258,0.001355584,0.001191289,0.000916564
2,0.09,9,0.25896,0.18281,0.10059,0.001385279,0.001222254,0.000951166
2,0.092,9,0.27755,0.19593,0.10979,0.001416037,0.001255155,0.000988616
2,0.094,9,0.29848,0.20925,0.12187,0.00144703,0.00128633,0.001034494
2,0.096,9,0.31831,0.22406,0.13066,0.001473054,0.001318549,0.001065777
2,0.098,9,0.33711,0.23612,0.14205,0.001494881,0.001343009,0.001103956
2,0.1,9,0.35628,0.24878,0.15328,0.001514413,0.001367072,0.001139233
2,0.08,11,0.15421,0.11007,0.05363,0.001142056,0.00098972,0.000712417
2,0.082,11,0.17411,0.1234,0.06221,0.001199148,0.00104006,0.000763806
2,0.084,11,0.19454,0.13832,0.06948,0.001251775,0.001091731,0.000804068
2,0.086,11,0.21503,0.15193,0.07937,0.0012992,0.001135109,0.000854812
2,0.088,11,0.23382,0.16423,0.08897,0.001338463,0.001171574,0.000900302
2,0.09,11,0.25418,0.17966,0.09765,0.001376853,0.001214011,0.000938693
2,0.092,11,0.27798,0.19694,0.10829,0.001416711,0.001257595,0.000982666
2,0.094,11,0.29988,0.20975,0.1207,0.001448972,0.001287458,0.001030201
2,0.096,11,0.322,0.22505,0.13361,0.001477552,0.001320615,0.001075911
2,0.098,11,0.34549,0.24051,0.1457,0.001503751,0.001351536,0.001115668
2,0.1,11,0.36566,0.25642,0.15554,0.001523,0.001380829,0.001146069
20,0.24,7,0.22016,0.12271,0.11299,0.001310304,0.001037556,0.001001116
20,0.242,7,0.22795,0.12796,0.1162,0.001326608,0.001056344,0.001013398
20,0.244,7,0.23907,0.13574,0.12036,0.001348761,0.001083119,0.001028948
20,0.246,7,0.24865,0.14228,0.1246,0.001366833,0.001104701,0.001044389
20,0.248,7,0.2571,0.14885,0.12844,0.001382026,0.001125583,0.001058032
20,0.25,7,0.26784,0.1572,0.13345,0.001400363,0.001151035,0.001075366
20,0.252,7,0.27767,0.1652,0.13664,0.001416225,0.001174346,0.001086138
20,0.254,7,0.28824,0.17195,0.14177,0.001432333,0.001193244,0.001103047
20,0.256,7,0.2979,0.17947,0.14651,0.001446221,0.001213509,0.001118234
20,0.258,7,0.30839,0.18728,0.14964,0.00146043,0.001233719,0.001128042
20,0.26,7,0.31771,0.19425,0.15498,0.001472312,0.001251067,0.001144383
20,0.24,9,0.2107,0.11752,0.10671,0.001289595,0.001018376,0.000976335
20,0.242,9,0.22389,0.12598,0.11258,0.001318193,0.001049329,0.000999529
20,0.244,9,0.23333,0.13171,0.1175,0.001337487,0.001069404,0.001018301
20,0.246,9,0.24461,0.13847,0.12404,0.001359323,0.001092227,0.001042373
20,0.248,9,0.25366,0.14802,0.12484,0.001375924,0.001122987,0.001045251
20,0.25,9,0.26752,0.15749,0.1315,0.001399832,0.001151898,0.00106868
20,0.252,9,0.27839,0.16537,0.13691,0.001417353,0.001174831,0.00108704
20,0.254,9,0.28985,0.17437,0.14098,0.001434702,0.001199855,0.001100476
20,0.256,9,0.30012,0.18088,0.14757,0.001449303,0.00121722,0.001121575
20,0.258,9,0.31387,0.1907,0.15325,0.0014675,0.00124231,0.001139142
20,0.26,9,0.32489,0.19995,0.15802,0.001481001,0.001264792,0.001153472
20,0.24,11,0.20746,0.11558,0.10465,0.001282265,0.001011045,0.000967979
20,0.242,11,0.21666,0.12251,0.10848,0.00130276,0.001036828,0.000983423
20,0.244,11,0.22886,0.12941,0.11517,0.001328469,0.001061429,0.001009484
20,0.246,11,0.24037,0.13764,0.11965,0.001351267,0.001089473,0.001026323
20,0.248,11,0.25074,0.14583,0.12384,0.001370655,0.001116081,0.001041651
20,0.25,11,0.2646,0.15585,0.13048,0.001394944,0.001146999,0.001065152
20,0.252,11,0.27866,0.1651,0.13666,0.001417775,0.001174061,0.001086205
20,0.254,11,0.29103,0.17554,0.14133,0.001436425,0.00120302,0.001101616
20,0.256,11,0.30499,0.18451,0.14825,0.001455923,0.001226646,0.001123708
20,0.258,11,0.31674,0.19305,0.15484,0.001471108,0.001248125,0.001143961
20,0.26,11,0.3297,0.20315,0.16028,0.0014866,0.001272321,0.001160131
200,0.365,7,0.12383,0.06299,0.06485,0.001041615,0.000768259,0.000778746
200,0.367,7,0.13206,0.07,0.06699,0.001070608,0.000806846,0.000790584
200,0.369,7,0.14137,0.07638,0.07017,0.001101746,0.000839917,0.000807751
200,0.371,7,0.15128,0.08532,0.07235,0.001133112,0.000883405,0.00081924
200,0.373,7,0.16046,0.0924,0.07513,0.001160658,0.000915763,0.00083358
200,0.375,7,0.17539,0.1019,0.08133,0.001202615,0.000956642,0.000864381
200,0.377,7,0.18469,0.10955,0.08457,0.001227109,0.000987668,0.000879875
200,0.379,7,0.1975,0.12043,0.08769,0.001258943,0.001029207,0.00089443
200,0.381,7,0.2103,0.13098,0.09173,0.001288697,0.001066884,0.000912774
200,0.383,7,0.22263,0.1414,0.09456,0.001315545,0.001101844,0.000925302
200,0.385,7,0.23134,0.1492,0.09643,0.001333498,0.001126674,0.000933441
200,0.365,9,0.11016,0.05468,0.05867,0.000990075,0.000718958,0.000743154
200,0.367,9,0.1214,0.06208,0.06307,0.001032773,0.00076306,0.000768714
200,0.369,9,0.13298,0.07053,0.06722,0.001073761,0.000809664,0.000791843
200,0.371,9,0.14219,0.07763,0.07028,0.001104409,0.000846189,0.000808336
200,0.373,9,0.15642,0.08825,0.07486,0.001148707,0.000897006,0.000832202
200,0.375,9,0.16623,0.09587,0.07829,0.001177275,0.000931015,0.000849474
200,0.377,9,0.18232,0.1069,0.08405,0.001220981,0.0009771,0.000877414
200,0.379,9,0.19234,0.11551,0.0868,0.001246376,0.001010779,0.000890313
200,0.381,9,0.20729,0.12684,0.09246,0.001281877,0.001052386,0.00091603
200,0.383,9,0.22437,0.14012,0.09753,0.001319197,0.001097663,0.000938179
200,0.385,9,0.23793,0.15088,0.10303,0.001346549,0.00113188,0.000961326
200,0.365,11,0.1015,0.04849,0.05568,0.000954975,0.000679255,0.000725119
200,0.367,11,0.11211,0.05562,0.05966,0.000997704,0.000724751,0.000749004
200,0.369,11,0.12301,0.06402,0.06296,0.001038646,0.000774089,0.000768089
200,0.371,11,0.13747,0.07354,0.06889,0.001088908,0.00082542,0.000800901
200,0.373,11,0.14738,0.08134,0.07207,0.001120978,0.000864429,0.000817777
200,0.375,11,0.16154,0.09092,0.07768,0.001163808,0.00090914,0.000846439
200,0.377,11,0.17752,0.1026,0.08297,0.001208332,0.000959548,0.000872273
200,0.379,11,0.19302,0.11381,0.08897,0.001248052,0.001004277,0.000900302
200,0.381,11,0.20742,0.12501,0.09417,0.001282174,0.001045861,0.000923591
200,0.383,11,0.22344,0.13846,0.09874,0.001317249,0.001092194,0.000943347
200,0.385,11,0.24407,0.15383,0.10653,0.001358307,0.001140905,0.000975609
